Title,Title_URL,Image,Tag_URL,Tag,jsteaserstandfirstlink,jsteaserstandfirstlink1,Time
AstraZeneca misses target for delivery of UK Covid vaccine,https://www.ft.com/content/6ccff5f5-834d-43b7-84e4-82ec3bb3ab06,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,...AstraZeneca said it was making progress in readying its supply chain so it could begin supplying doses as soon as the vaccine is approved....,AstraZeneca,"NOVEMBER 4, 2020"
GSK/ESG funds: flower power,https://www.ft.com/content/de57828f-6ef4-48e5-80ce-5e1c6cf37fb7,,https://www.ft.com/esg-investing,ESG investing,"...They trade at 11 times forward earnings half of rival AstraZeneca which has a more promising pipeline of drugs.

It is easy to mock the flurries of jargon that accompany new ways of thinking....",AstraZeneca,"NOVEMBER 3, 2020"
Oxford Covid vaccine trials offer hope for elderly ,https://www.ft.com/content/b15446e5-66f7-4e6a-947a-1b638769ff79,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb432a7ca-6c64-41d7-bb79-6782afd4615a.jpg?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...The US arm of the Oxford/AstraZeneca study was given the go-ahead to resume on Friday, having been halted since September 6 after a participant developed neurological symptoms....",AstraZeneca,"OCTOBER 26, 2020"
AstraZeneca and J&J get go-ahead to resume Covid-19 vaccine trials,https://www.ft.com/content/2d2d0e8c-3560-456f-bf3e-59a869e6aa00,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...Pascal Soriot, AstraZeneca’s chief executive, said people should be “reassured by the care taken by independent regulators to protect the public”....",AstraZeneca’s,"OCTOBER 23, 2020"
Vaccine deal allows AstraZeneca to take up to 20% on top of costs,https://www.ft.com/content/e359159b-105c-407e-b1be-0c7a1ddb654b,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...UK-headquartered AstraZeneca has pledged to sell the vaccine “at cost” during the pandemic, eschewing profits. It has declined to say how much the vaccine costs to make....",AstraZeneca,"OCTOBER 23, 2020"
"Ministers handed £280,000 Covid contract to business of executive in voluntary public role",https://www.ft.com/content/a252e28e-d4cf-4a75-9782-693a6168423e,,https://www.ft.com/coronavirus,Coronavirus,"...Mrs White was an executive at Sodexo, another government outsourcer, and AstraZeneca, the pharmaceuticals giant, before joining struggling Interserve in 2017....",AstraZeneca,"OCTOBER 16, 2020"
AstraZeneca vaccine document shows limit of no-profit pledge,https://www.ft.com/content/c474f9e1-8807-4e57-9c79-6f4af145b686,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,...AstraZeneca declined to answer specific questions regarding its definition of the “Pandemic Period” or the Fiocruz agreement....,AstraZeneca,"OCTOBER 7, 2020"
FDA widens probe into AstraZeneca Covid vaccine,https://www.ft.com/content/2356aa1e-b862-405d-be41-e64ee14b41ba,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...AstraZeneca is in talks with MHRA over rolling reviews, according to one of the people briefed on the matter....",AstraZeneca,"OCTOBER 1, 2020"
City Bulletin: Scientists plead for clarity on AstraZeneca’s Covid-19 vaccine trial,https://www.ft.com/content/9c5f6a96-fc11-42f1-8f4e-f1c27cdfd089,,https://www.ft.com/city-bulletin,City Bulletin,"...Scientists are demanding to know why AstraZeneca’s trial of its Covid-19 vaccine is still on hold in the US while it has been restarted elsewhere, report our healthcare correspondents Hannah Kuchler and...",AstraZeneca’s,"SEPTEMBER 23, 2020"
Scientists call for clarity on AstraZeneca’s Covid vaccine trial,https://www.ft.com/content/06015bd9-ed4b-44ef-a243-2bd67557d2c0,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,...Neither AstraZeneca nor the US Food and Drug Administration would explain why the trial had not restarted....,AstraZeneca,"SEPTEMBER 22, 2020"
Oxford and AstraZeneca resume coronavirus vaccine trial | Free to read,https://www.ft.com/content/588cebbc-cbae-45ba-8b9a-e8ad2760c0ed,,https://www.ft.com/content/7c88016e-f025-4f7f-b68a-27efe56ffa1c,Coronavirus: free to read,...Oxford university and AstraZeneca are to resume the international clinical trial of their proposed coronavirus vaccine candidate....,AstraZeneca,"SEPTEMBER 13, 2020"
"Investors Chronicle: AstraZeneca, Halfords, Tullow Oil",https://www.ft.com/content/7b4edd89-8325-4eec-80f5-1fd85959ac7d,,https://www.ft.com/investments,Investments,...AstraZeneca wasn’t the only Plc under the spotlight on Wednesday....,AstraZeneca,"SEPTEMBER 11, 2020"
AstraZeneca ‘still on track’ to submit Covid vaccine data before end of year,https://www.ft.com/content/f92bdc4a-319a-47e7-8344-9a9fe224303c,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...As well as the AstraZeneca-Oxford university vaccine, two others — manufactured by Pfizer and Moderna — were “also advancing quite quickly”, he said....",AstraZeneca,"SEPTEMBER 10, 2020"
AstraZeneca’s Covid trial pause a reminder of huge challenges in race for vaccines,https://www.ft.com/content/c94b9497-5a3c-46b7-ba76-bdd093a56d46,,https://www.ft.com/content/7c88016e-f025-4f7f-b68a-27efe56ffa1c,Coronavirus: free to read,"...That possibility was behind AstraZeneca’s decision voluntarily to pause the trial, he said....",AstraZeneca’s,"SEPTEMBER 9, 2020"
AstraZeneca puts vaccine trial on hold after participant falls ill,https://www.ft.com/content/98fca6d4-fcd2-488c-bcfc-d47758740a1a,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,...AstraZeneca said it was reviewing the event to ensure it would not result in a significant delay....,AstraZeneca,"SEPTEMBER 9, 2020"
John Kay: a lifetime in investment trusts,https://www.ft.com/content/802486eb-a669-4341-921f-01f6b6d03842,,https://www.ft.com/john-kay,John Kay,"...If the largest holdings are AstraZeneca, Unilever, Shell and HSBC you are effectively paying active management fees for an index tracker, and will you do better to buy the indexed tracker....",AstraZeneca,"AUGUST 28, 2020"
Trump considers fast-tracking UK Covid-19 vaccine before US election,https://www.ft.com/content/b053f55b-2a8b-436c-8154-0e93dcdb3c1a,,https://www.ft.com/coronavirus,Coronavirus,"...A spokesperson for the Treasury secretary said: “Secretary Mnuchin did not make any comments regarding AstraZeneca, nor is he familiar with the specifics of the AstraZeneca vaccine candidate....",AstraZeneca,"AUGUST 24, 2020"
Why is the ‘anti-vaxxer’ movement growing during a pandemic?,https://www.ft.com/content/f1966dd4-1c21-4a92-b726-f3634d8d9f16,,https://www.ft.com/content/7c88016e-f025-4f7f-b68a-27efe56ffa1c,Coronavirus: free to read,"...She is also mistrustful of Operation Warp Speed, a sprawling federally-funded effort that has paid billions of dollars to drug companies — including $1.2bn to AstraZeneca and $1.6bn to Novavax — to manufacture...",AstraZeneca,"AUGUST 20, 2020"
Being boring helps Unilever clean up,https://www.ft.com/content/c6078f45-a291-4657-9cf4-e905f2a3450d,,https://www.ft.com/bryce-elder,Bryce Elder,...The Dove soap maker this month overtook drugmaker AstraZeneca to become the UK’s most valuable listed company....,AstraZeneca,"AUGUST 1, 2020"
AstraZeneca bucks industry trend with rise in first-half profits,https://www.ft.com/content/2def1ffd-186c-494c-b5e3-a9a9b2c429a8,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca’s London-listed shares added 2.6 per cent on Thursday.

Earlier this month, AstraZeneca said its Covid-19 jab elicited a sustained immune response, and that a study showed it was safe....",AstraZeneca’s,"JULY 30, 2020"
GlaxoSmithKline warns of hit to vaccines business,https://www.ft.com/content/2e12bcbb-1b9f-4bd6-8ee1-5b0ae3793166,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...Moderna is pitching its coronavirus vaccine to potential buyers in a range of about $50 to $60 per dose, higher than prices already disclosed for those being jointly developed by Pfizer and BioNTech, and by AstraZeneca...",AstraZeneca,"JULY 29, 2020"
UK strikes deal for 60m Covid-19 vaccine doses with Sanofi and GSK,https://www.ft.com/content/4fd94286-66d8-4c6b-b589-da87a92c3715,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...It earlier agreed to buy 100m doses of the Oxford university vaccine being developed with AstraZeneca, as well as 30m doses from Germany’s BioNTech and US group Pfizer....",AstraZeneca,"JULY 29, 2020"
AstraZeneca and Daiichi Sankyo join forces again in $6bn cancer deal,https://www.ft.com/content/9dddea94-9d36-4689-8369-18d4620ea1ef,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca has agreed to pay Japan’s Daiichi Sankyo up to $6bn to develop and market a potential lung and breast cancer drug, the second large oncology deal between the companies in the past two years....",AstraZeneca,"JULY 27, 2020"
Forecast-beating Unilever becomes UK’s biggest listed company,https://www.ft.com/content/fb5273b0-c44b-491c-8ad0-de0b92163087,,https://www.ft.com/stream/54c1f96b-d68e-4ec3-92b4-87608a3e963d,Unilever PLC,"...maker of Dove soap, Ben & Jerry’s ice cream and Domestos bleach rose 8.75 per cent to £47.09 on the news, making it the largest company in the FTSE 100 by market capitalisation as it overtook drugmaker AstraZeneca...",AstraZeneca,"JULY 23, 2020"
"Coronavirus: California surpasses 400,000 cases, closes in on New York — as it happened",https://www.ft.com/content/cffbad8f-41a3-3f00-9585-0efc3169ffb9,,https://www.ft.com/coronavirus,Coronavirus,,,"JULY 21, 2020"
GSK shown up by AstraZeneca yet again,https://www.ft.com/content/6d406df6-8c33-409e-860c-6a38cc165568,,https://www.ft.com/cat-rutter-pooley,Cat Rutter Pooley,"...On Monday, AstraZeneca’s lead extended further with positive results from the trial it is conducting with Oxford university. GSK’s vaccine-related announcement was more modest....",AstraZeneca’s,"JULY 20, 2020"
Oxford coronavirus vaccine shows promise in early trial,https://www.ft.com/content/10c7306d-dbfa-4a5f-abe5-5748b4083d94,,https://www.ft.com/coronavirus-treatment,Coronavirus treatment,"...AstraZeneca’s share price jumped more than 3 per cent on the news, then fell back to below where it started....",AstraZeneca’s,"JULY 20, 2020"
Pharma can redeem itself through the pandemic,https://www.ft.com/content/a6dde4a6-c2a5-11ea-9b66-39ae33ea12cb,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F9224d3ac-c2b5-11ea-a0f0-d00aaf61dffd?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/ft-view,The editorial board,...Companies such as AstraZeneca and GlaxoSmithKline have begun work on setting up supply chains for the global manufacture and supply of a vaccine....,AstraZeneca,"JULY 12, 2020"
Markets Now - Monday 8th June 2020,https://www.ft.com/content/7f5ed0fb-9332-4273-9797-2dc07c281bab,,https://www.ft.com/equities,Equities,"...AstraZeneca Plc has made a preliminary approach to rival drugmaker Gilead Sciences Inc. about a potential merger, according to people familiar with the matter, in what would be the biggest health-care deal...",AstraZeneca,"JUNE 8, 2020"
"Trump social media order, AstraZeneca turnround",https://www.ft.com/content/4a93301f-9aed-48ea-85ae-f3d8e2718013,,https://www.ft.com/ft-news-briefing,FT News Briefing podcast,"...Plus, the FT’s industry editor, Peggy Hollinger, unpacks the turnround that propelled pharmaceutical group AstraZeneca to the industry’s front ranks....",AstraZeneca,"MAY 29, 2020"
GSK targets production of 1bn doses of coronavirus vaccine booster,https://www.ft.com/content/30c6c6a7-dca7-40f4-9fc0-5b8835f1aab3,,https://www.ft.com/coronavirus,Coronavirus,...AstraZeneca’s partnership with the University of Oxford on its own candidate has attracted a promise of more than $1bn in funding from the US....,AstraZeneca’s,"MAY 28, 2020"
The lessons and consequences of a failed megadeal,https://www.ft.com/content/335d22dd-c45b-47f5-a6eb-aa6fa4cf1c4f,,https://www.ft.com/due-diligence,Due Diligence,"...That time Pfizer failed to clinch a deal for AstraZeneca

If Ian Read had his way, AstraZeneca would be a unit of US pharma group Pfizer right now....",AstraZeneca,"MAY 28, 2020"
Drug wars: how AstraZeneca overtook GSK in UK pharma,https://www.ft.com/content/20bd997e-d26a-4cf6-8f2e-3cf35784669e,,https://www.ft.com/the-big-read,The Big Read,"...Luke Miels, once Mr Soriot’s right-hand man at AstraZeneca, is GSK’s head of pharmaceuticals....",AstraZeneca,"MAY 27, 2020"
Race for a vaccine raises fears over unequal access,https://www.ft.com/content/fc40456e-9c36-11ea-adb1-529f96d8a00b,,https://www.ft.com/ft-view,The editorial board,...AstraZeneca last week said it was engaging with international bodies such as the World Health Organization “for the fair allocation and distribution of the vaccine around the world”....,AstraZeneca,"MAY 25, 2020"
Scientists vs politicians: the reality check for ‘warp speed’ vaccine research ,https://www.ft.com/content/1467b1da-28a5-47d4-a5e2-a6f4b68484c3,,https://www.ft.com/content/7c88016e-f025-4f7f-b68a-27efe56ffa1c,Coronavirus: free to read,"...They believe that before the end of the year we could see vaccines from Pfizer and their German partner BioNTech, and AstraZeneca and Oxford university....",AstraZeneca,"MAY 22, 2020"
City Bulletin: Retail sales plunge to record low,https://www.ft.com/content/82f70003-844e-4298-9c7d-964a47832b12,,https://www.ft.com/city-bulletin,City Bulletin,"...Lombard If UK plc needed a new national champion, AstraZeneca would not be a bad candidate (Swedish heritage aside).

Thanks for reading....",plc,"MAY 22, 2020"
Covid-19 has brought on a case of corporate good citizenship at AstraZeneca,https://www.ft.com/content/a008426d-79b2-4cfc-8ab4-39808e5d9a48,,https://www.ft.com/cat-rutter-pooley,Cat Rutter Pooley,"...If UK plc needed a new national champion, AstraZeneca would not be a bad candidate (Swedish heritage aside)....",plc,"MAY 21, 2020"
Markets Now - Thursday 21st May 2020,https://www.ft.com/content/7e055f67-be0e-4951-911d-93cab2e26b59,,https://www.ft.com/equities,Equities,"...Assuming nothing changes, UK PLC’s top tier will be swapping international travel and essential home comforts for gambling, incontinence and monetisable paranoia. That feels appropriate for 2020....",PLC’s,"MAY 21, 2020"
AstraZeneca books orders for 400m doses of Oxford vaccine,https://www.ft.com/content/4b216c2e-2558-4308-b9c2-bf805b08e949,,https://www.ft.com/coronavirus,Coronavirus,...Drugmaker AstraZeneca said on Thursday that it had secured orders for at least 400m doses of an as yet unproven Covid-19 vaccine being developed with Oxford university and would begin delivering them in...,AstraZeneca,"MAY 21, 2020"
Prostate cancer drugs: precisely done,https://www.ft.com/content/9a88b9f5-1ab3-4caf-91cf-1cff8a4daa82,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...US regulators have approved Lynparza, in a significant breakthrough for the drug’s developers — AstraZeneca of the UK and America’s Merck....",AstraZeneca,"MAY 20, 2020"
AstraZeneca’s rise to the FTSE top spot feels like a sell signal,https://www.ft.com/content/58433ba9-4122-471b-8fe6-77813e7f4530,,https://www.ft.com/bryce-elder,Bryce Elder,...AstraZeneca’s profit growth now leads the sector....,AstraZeneca’s,"MAY 16, 2020"
"Investors Chronicle: JD Sports, AstraZeneca, Virgin Money UK",https://www.ft.com/content/50bee04d-0bb6-4b63-ba2f-ca72008a52d8,,https://www.ft.com/investments,Investments,"...BUY: AstraZeneca (AZN)

AstraZeneca’s growth rates are moving in the right direction and the dividend assurance on offer is increasingly rare, writes Harriet Clarfelt....",AstraZeneca,"MAY 7, 2020"
Coronavirus vaccine: an epidemic of nationalism,https://www.ft.com/content/56899fab-94e7-49b5-bbc6-beda92df6ea7,,https://www.ft.com/coronavirus,Coronavirus,"...In the UK, a global tie-up between AstraZeneca and the University of Oxford aims to make 100m doses, with Britons getting priority....",AstraZeneca,"APRIL 30, 2020"
AstraZeneca and Oxford university agree deal to develop virus vaccine,https://www.ft.com/content/ddf8ec8c-dc30-43b3-847e-c412704a0296,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...The collaboration pushed shares in AstraZeneca 2.8 per higher, to a record of 229p a share....",AstraZeneca,"APRIL 30, 2020"
Next’s Wolfson shows his workings for a new socially distant world,https://www.ft.com/content/1398ba85-5051-4823-9ab8-86ae5185fa23,,https://www.ft.com/kate-burgess,Kate Burgess,"...Ad Astra

AstraZeneca is proving more Covid-19 immune than other pharma groups scrabbling to find a cure. Its efforts remain directed at cancer treatments, and investors approve....",AstraZeneca,"APRIL 29, 2020"
Can Matt Hancock’s 5-point plan solve the testing crisis?,https://www.ft.com/content/3c102ab6-4e0e-46e7-a515-124f4f046aea,,https://www.ft.com/uk-politics,UK politics,...remains to be seen whether his ambitious “five-pillar” plan — engaging the private sector in testing and trying to develop a “huge diagnostic industry” almost from scratch involving big companies like AstraZeneca...,AstraZeneca,"APRIL 2, 2020"
AstraZeneca: the right prescription,https://www.ft.com/content/46d0baed-60f2-40b2-a380-5df037e9b250,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca makes it look almost easy. In the middle of the past decade, the Anglo-Swedish pharmaceutical company fell down the biggest patent cliff in the industry....",AstraZeneca,"MARCH 30, 2020"
AstraZeneca warns of coronavirus hit to growth,https://www.ft.com/content/b9fa5578-4ef7-11ea-95a0-43d18ec715f5,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca has warned of the “unfavourable impact” on its business of the coronavirus outbreak, making clear that the unfolding epidemic has injected uncertainty into its growth forecasts....",AstraZeneca,"FEBRUARY 14, 2020"
The onetime Parisian street fighter who gave his company purpose,https://www.ft.com/content/227bee4e-1524-11ea-9ee4-11f260415385,,https://www.ft.com/how-to-lead,How to Lead,"...Growing up in the Parisian banlieues, Mr Soriot, now chief executive of Anglo-Swedish pharma group AstraZeneca, was not above resorting to fisticuffs as he and his friends defended themselves against rival...",AstraZeneca,"FEBRUARY 9, 2020"
Fear that governance code will spark wave of UK board departures,https://www.ft.com/content/6905336e-4442-11ea-a43a-c4b328d9061c,,https://www.ft.com/corporate-governance,Corporate governance,"...Pascal Soriot, chief executive of AstraZeneca, also questioned the need for rigid adherence to the nine-year rule....",AstraZeneca,"FEBRUARY 3, 2020"
AstraZeneca takes $100m hit after failed heart drug trial,https://www.ft.com/content/d11dd4e2-35d3-11ea-a6d3-9a26f8c3cba4,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca will take a $100m writedown after trials of a heart disease drug showed it to be ineffective in treating a particular cardiovascular condition....,AstraZeneca,"JANUARY 13, 2020"
Paul Hudson seeks to write new prescription for Sanofi,https://www.ft.com/content/08f1fcf8-1ce4-11ea-97df-cc63de1d73f4,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...Chris Brinsmead, the former UK head of AstraZeneca, described him as “a commercial animal”.

He added: “His DNA is business and commerce really, but he is a smart guy....",AstraZeneca,"DECEMBER 13, 2019"
AstraZeneca backs $1bn China biotech fund for smaller ventures,https://www.ft.com/content/5727e4fc-ffe1-11e9-be59-e49b2a136b8d,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F068297c6-ffec-11e9-a530-16c6c29e70ca?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...Part of AstraZeneca’s plans involve doubling staff at its research centre in Shanghai to 1,000 over the next few years....",AstraZeneca’s,"NOVEMBER 5, 2019"
AstraZeneca lifts sales outlook on further boost from new drugs,https://www.ft.com/content/55c67e04-f62a-11e9-9ef3-eca8fc8f2d65,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...Speaking to reporters after the results were released, Mr Soriot emphasised the broad-based nature of AstraZeneca’s resurgence....",AstraZeneca’s,"OCTOBER 24, 2019"
Opening Quote: RBS returns to familiar losses,https://www.ft.com/content/67ea740a-f62f-11e9-a79c-bc9acae3b654,,https://www.ft.com/city-bulletin,City Bulletin,...Finally drugmaker AstraZeneca has upgraded sales guidance for the second quarter in a row....,AstraZeneca,"OCTOBER 24, 2019"
Data may widen market for AstraZeneca and GSK ovarian cancer drugs,https://www.ft.com/content/68056ab2-e176-11e9-9743-db5a370481bc,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...The UK’s two biggest drugmakers may have widened the market for their ovarian cancer treatments following positive results from clinical trials

AstraZeneca and GlaxoSmithKline both showcased striking outcomes...",AstraZeneca,"SEPTEMBER 28, 2019"
The UK’s unpredictable attitude to foreign bids,https://www.ft.com/content/00ad892c-cfe6-11e9-99a4-b5ded7a7fe3f,,https://www.ft.com/ft-view,The editorial board,"...The regulations were further reinforced after Pfizer made broad commitments to invest in the UK, during its abortive bid for AstraZeneca, the drugs company, in 2014....",AstraZeneca,"SEPTEMBER 9, 2019"
Marks and Spencer heads for relegation from FTSE 100,https://www.ft.com/content/11df570e-cd5a-11e9-99a4-b5ded7a7fe3f,,https://www.ft.com/uk-equities,UK equities,"...AstraZeneca led the day’s gainers, with the drugmaker hitting a record high in response to promising data from a pivotal trial of its diabetes drug Farxiga to treat cardiovascular problems....",AstraZeneca,"SEPTEMBER 2, 2019"
AstraZeneca faces setback in lung cancer drug trial,https://www.ft.com/content/dbc97422-c3dd-11e9-a8e9-296ca66511c9,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...The immunotherapy achieved sales of $633m in the first half of this year, a growth of nearly 250 per cent which helped AstraZeneca raise its sales outlook on booming revenues....",AstraZeneca,"AUGUST 21, 2019"
AstraZeneca climbs as it raises outlook on booming sales,https://www.ft.com/content/542168e4-aead-11e9-8030-530adfa879c2,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca shares were up almost 6 per cent at lunchtime in London to £67.35....,AstraZeneca,"JULY 25, 2019"
GSK: betting the pharm,https://www.ft.com/content/a97ab0a0-ae23-11e9-8030-530adfa879c2,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...The latest is the newly announced chairman Jonathan Symonds, a former finance director at rival drugmakers AstraZeneca and Novartis....",AstraZeneca,"JULY 24, 2019"
AstraZeneca to pay millions of pounds to former staff,https://www.ft.com/content/d312cdba-a88f-11e9-984c-fac8325aaa04,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca remained closely involved in helping secure a future for the site following the sale to Avara, which it said had been “made in good faith” in 2016....",AstraZeneca,"JULY 17, 2019"
Ovarian cancer treatment boosts GSK,https://www.ft.com/content/9afd687a-a6d4-11e9-984c-fac8325aaa04,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,"...At the time of the Tesaro acquisition, some analysts had suggested that it might struggle against Lynparza, another ovarian cancer drug, that is being jointly developed and commercialised by AstraZeneca...",AstraZeneca,"JULY 15, 2019"
GSK to appoint Jonathan Symonds as chairman,https://www.ft.com/content/c6d73fd2-a645-11e9-984c-fac8325aaa04,,https://www.ft.com/stream/7e27074f-ef2c-45ed-a6e3-04f0a93451f4,GSK PLC,...A spokesman for GSK said: “GlaxoSmithKline plc announced in January 2019 that the board had started the process to find a successor to Sir Philip Hampton as non-executive chairman....,plc,"JULY 14, 2019"
AstraZeneca takes lessons from fast food to serve China,https://www.ft.com/content/1370a998-a3a1-11e9-974c-ad1c6ab5efd1,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca has been an early adopter of this approach since Mr Wang joined the company in 2013....,AstraZeneca,"JULY 11, 2019"
Smith & Nephew directors discussed US listing to boost CEO pay,https://www.ft.com/content/5ccdb134-9650-11e9-8cfb-30c211dcd229,,https://www.ft.com/stream/ea1f8c97-07cd-4de0-998b-ced2c8a3d742,Smith & Nephew PLC,"...If the plan were enacted, it would leave just three healthcare companies in the FTSE 100: GlaxoSmithKline, AstraZeneca and NMC Health....",AstraZeneca,"JUNE 25, 2019"
UK biotechs seek to speed up cancer detection,https://www.ft.com/content/d0a2225c-86e2-11e9-97ea-05ac2431f453,,https://www.ft.com/stream/95e1dc23-3922-3288-a702-efbb1a46c070,Small-cap focus,"...AstraZeneca, the Anglo-Swedish drugmaker, for example, showcased treatments intended to be administered at a much earlier stage, when the disease could still be cured....",AstraZeneca,"JUNE 7, 2019"
Pharma groups combine to promote drug discovery with AI,https://www.ft.com/content/ef7be832-86d0-11e9-a028-86cea8523dc2,,https://www.ft.com/medical-science,Medical science,"...In the UK, Genomics Plc, a spinout from the University of Oxford, signed a drug discovery deal with Vertex Pharmaceuticals, the biotech company....",Plc,"JUNE 4, 2019"
AstraZeneca reports encouraging results for early-stage cancer treatments,https://www.ft.com/content/304ea416-8448-11e9-a028-86cea8523dc2,,https://www.ft.com/uk-companies,UK companies,"...AstraZeneca has unveiled data suggesting that its push into early-stage treatments for cancer is yielding results, as the drugmaker seeks to lead a global race to increase survival rates....",AstraZeneca,"JUNE 2, 2019"
Neil Woodford sells stake in P2P Global to meet redemptions,https://www.ft.com/content/38496d6e-6b51-11e9-80c7-60ee53e6681d,,https://www.ft.com/stream/64d042d9-7c75-4a4d-8533-a5e4065bcbf5,Neil Woodford,...One of Mr Woodford’s top five holdings — biotech company Benevolent AI — on Tuesday announced a long-term collaboration with AstraZeneca to use artificial intelligence and machine learning to develop treatments...,AstraZeneca,"APRIL 30, 2019"
AstraZeneca cancer drugs drive growth in sales,https://www.ft.com/content/5e24cdb0-67e8-11e9-9adc-98bf1d35a056,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca reported its third successive quarter of sales growth on the back of demand for its new cancer drugs and a strong showing in emerging markets, especially China....",AstraZeneca,"APRIL 26, 2019"
AstraZeneca chief claims vindication five years after Pfizer bid,https://www.ft.com/content/5be151ac-3eaf-11e9-9bee-efab61506f44,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...Five years ago this week, AstraZeneca boss Pascal Soriot was embarking on the fight of his life....",AstraZeneca,"APRIL 24, 2019"
"YouGov, AstraZeneca",https://www.ft.com/content/a349f1fa-5568-11e9-a3db-1fe89bedc16e,,https://www.ft.com/investments,Investments,...AstraZeneca has raised $3.5bn (£2.7bn) via a share placing to help fund a new partnership with Japanese pharma group Daiichi Sankyo....,AstraZeneca,"APRIL 5, 2019"
The UK executives helping Putin burnish Russia’s image,https://www.ft.com/content/0d58751a-5566-11e9-91f9-b6515a54c5b1,,https://www.ft.com/henry-foy,Henry Foy,"...The other foreign guests included Graeme Macdonald, chief executive of JCB, Ian Taylor of Vitol, Pascal Soriot of Swedish-British drugmaker AstraZeneca and former WPP chief Martin Sorrell....",AstraZeneca,"APRIL 4, 2019"
"Stocks to watch: EasyJet, WPP, Circassia, Royal Mail, Publicis",https://www.ft.com/content/7921ce88-545b-11e9-91f9-b6515a54c5b1,,https://www.ft.com/equities,Equities,"...Reaching the milestones means lossmaking Circassia has to pay $20m to AstraZeneca within 30 days, with a further $100m due by June 30....",AstraZeneca,"APRIL 1, 2019"
AstraZeneca: capital remedy,https://www.ft.com/content/e685b9ce-522d-11e9-9c76-bf4a0ce37d49,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...But AstraZeneca has earned credibility in recent years. With the latest drug adding to several other likely cancer blockbusters, expect AstraZeneca to outpace most of its peers....",AstraZeneca,"MARCH 29, 2019"
AstraZeneca in $6.9bn cancer deal with Daiichi Sankyo,https://www.ft.com/content/08cd39b0-51cc-11e9-b401-8d9ef1626294,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...Shares in Daiichi surged 16 per cent on news of the deal, which AstraZeneca will partly fund through a $3.5bn share sale....",AstraZeneca,"MARCH 29, 2019"
